0.25,"(0.4073695940961312, 0.45429550997838397, 0.4830870669866776, 0.5090963711494484, 0.09463445686833859, 0.17182633971341013, 0.23771203466253463, 0.2777522492187382, 0.4336806605641772, 0.6720367247629675, 0.8448473552168496, 0.9495098039215686)"
0.25,"(0.4087638390543465, 0.4536629576947302, 0.48497488469851635, 0.5099008817107876, 0.09521120066018537, 0.1718675810784993, 0.23705818850868846, 0.2777522492187382, 0.4349661582206426, 0.67712931735556, 0.8428420076232667, 0.9495098039215686)"
0.25,"(0.41236528832563696, 0.45505242550872393, 0.48581327957970777, 0.5112011291731643, 0.09521120066018537, 0.17185248446014184, 0.23705818850868846, 0.2777522492187382, 0.4349661582206426, 0.6767252769515196, 0.8428420076232667, 0.9495098039215686)"
0.25,"(0.412794899567131, 0.4550911731618389, 0.48666381399194486, 0.5134978649499485, 0.09527292905524713, 0.17116160126925867, 0.23673139112306754, 0.2777522492187382, 0.43394051719500154, 0.6751239697619771, 0.8386753409566, 0.9495098039215686)"
0.25,"(0.42073525814324253, 0.46193257926436676, 0.4889000102802541, 0.516092543403857, 0.09536643069152576, 0.1707912308988883, 0.23673139112306754, 0.2777522492187382, 0.43517318283444684, 0.6744829441209514, 0.8386753409566, 0.9495098039215686)"
0.25,"(0.42804835559702104, 0.4640392821657197, 0.49381322504852837, 0.5191995864245663, 0.09605386054562226, 0.17184799418391247, 0.23675578612697076, 0.2777522492187382, 0.4374808751421392, 0.6780814289694362, 0.8397275295087886, 0.9495098039215686)"
0.25,"(0.4395117762457852, 0.4677466547915315, 0.4966494168774579, 0.5234000581496607, 0.09606488347331185, 0.17127072635789198, 0.23640715814676383, 0.2777522492187382, 0.4363930740543381, 0.676254144053916, 0.8393423754471638, 0.9495098039215686)"
0.25,"(0.4381778369072345, 0.4693045276296075, 0.497893762595569, 0.5261636977558422, 0.0957562414980032, 0.17236715212312545, 0.23677752851713418, 0.2777522492187382, 0.43472640738767143, 0.6795221179101252, 0.8404534865582749, 0.9495098039215686)"
0.25,"(0.4400545923141067, 0.46892134084512266, 0.4985450924053759, 0.5274665798857993, 0.0961343279177563, 0.17312266113969668, 0.23747197296157863, 0.2777522492187382, 0.43565233331359743, 0.6797397632119735, 0.8430797491845377, 0.9495098039215686)"
0.25,"(0.4437047706027295, 0.468634258111025, 0.4997013094000116, 0.5269808157960204, 0.09718504197442274, 0.1725252084834205, 0.23747197296157863, 0.2777522492187382, 0.4414983854096494, 0.6752337300294698, 0.8430797491845377, 0.9495098039215686)"
0.25,"(0.4452415494799674, 0.46910285570894655, 0.49979209237453287, 0.5267472960878543, 0.09718504197442274, 0.172066307971164, 0.23717435391395958, 0.2777522492187382, 0.4414983854096494, 0.673361767569272, 0.8415645976693862, 0.9495098039215686)"
0.25,"(0.4072100977380673, 0.4531408466437259, 0.48184853387527704, 0.507398662136622, 0.0949967757089183, 0.17184487883094815, 0.23679713166429828, 0.2777522492187382, 0.43421829497277936, 0.6564811692074121, 0.8435024582837175, 0.9495098039215686)"
0.25,"(0.40923950735891634, 0.4514386889997462, 0.48382434447216094, 0.5097191438426883, 0.09521120066018537, 0.1725065664619754, 0.23646379833096495, 0.2777522492187382, 0.4349661582206426, 0.6631478358740784, 0.8419873067685659, 0.9495098039215686)"
0.25,"(0.4116251856240083, 0.4526348267159513, 0.4841323686536032, 0.5098044202216675, 0.09521120066018537, 0.1721442476213957, 0.23646379833096495, 0.2777522492187382, 0.4349661582206426, 0.6616326843589271, 0.8419873067685659, 0.9495098039215686)"
0.25,"(0.41493889174397525, 0.4531763106030203, 0.4855242337707317, 0.5121834874823861, 0.09594388987113547, 0.17145336443051254, 0.23613700094534404, 0.2777522492187382, 0.43712233537681977, 0.6600313771693844, 0.8378206401018993, 0.9495098039215686)"
0.25,"(0.41567944606312796, 0.4581364126973396, 0.4875051156941532, 0.5134823605355155, 0.09594388987113547, 0.17108299406014219, 0.23643461999296309, 0.2777522492187382, 0.43712233537681977, 0.6593903515283588, 0.8393357916170507, 0.9495098039215686)"
0.25,"(0.42347664232448073, 0.4602238059946877, 0.49000856421335015, 0.5158643441621895, 0.09632267774992335, 0.17186653330145046, 0.2361613959492472, 0.2777522492187382, 0.4377633610178454, 0.6625258734138806, 0.8388728286540877, 0.9495098039215686)"
0.25,"(0.43570099812356367, 0.4647531274893861, 0.4945121971587038, 0.5213081456720906, 0.09606488347331185, 0.17227941828880355, 0.23613328078955315, 0.2777522492187382, 0.4363930740543381, 0.6631668990549062, 0.8389778706708945, 0.9495098039215686)"
0.25,"(0.44280364186820853, 0.46788358054519175, 0.4966996743462737, 0.525616411608367, 0.09547846372022545, 0.17234444987557426, 0.23613328078955315, 0.2777522492187382, 0.4328745555358196, 0.6627628586508659, 0.8389778706708945, 0.9495098039215686)"
0.25,"(0.4446878313080744, 0.4667409116421508, 0.49741326166462285, 0.5261890124940173, 0.0961343279177563, 0.17176887641502783, 0.23653036056163293, 0.2777522492187382, 0.43565233331359743, 0.6566748956879029, 0.8407098968146853, 0.9495098039215686)"
0.25,"(0.4448895966365674, 0.46743230682520465, 0.49849819205546114, 0.5254068199213393, 0.09716375632095314, 0.1718605399849523, 0.23687758278385512, 0.2777522492187382, 0.4407576446689087, 0.6568731635806679, 0.8422250483298369, 0.9495098039215686)"
0.25,"(0.44451801482830827, 0.46649464463592927, 0.49810334287097824, 0.5246598456009759, 0.09716375632095314, 0.1714428808377849, 0.23657996373623608, 0.2777522492187382, 0.4407576446689087, 0.6562049048241738, 0.8407098968146854, 0.9495098039215686)"
0.25,"(0.4032591770458781, 0.45102121492913927, 0.48142691020136213, 0.5073512886072887, 0.0949967757089183, 0.17184487883094815, 0.23621233634266084, 0.2777522492187382, 0.43421829497277936, 0.6564811692074121, 0.8423119820932413, 0.9495098039215686)"
0.25,"(0.40665803858839733, 0.4504824244882083, 0.48356366027329506, 0.5090572828798953, 0.09521120066018537, 0.1725065664619754, 0.23587900300932751, 0.2777522492187382, 0.4349661582206426, 0.6631478358740784, 0.8407968305780897, 0.9495098039215686)"
0.25,"(0.4102594878596878, 0.4525025656855026, 0.48451640380900723, 0.5104905160806235, 0.09521120066018537, 0.1725065664619754, 0.2355522056237066, 0.2777522492187382, 0.4349661582206426, 0.6631478358740784, 0.8366301639114231, 0.9495098039215686)"
0.25,"(0.41224068573042044, 0.45312863310014684, 0.4852830171182827, 0.5121831896644351, 0.09558157103055574, 0.17145336443051254, 0.23584982467132562, 0.2777522492187382, 0.43560718386166825, 0.6600313771693844, 0.8381453154265746, 0.9495098039215686)"
