0.25,"(0.39576358757349106, 0.4102420439529879, 0.4303362841454078, 0.4423208339981608, 0.07393582930129992, 0.1919832351823428, 0.2796715050688403, 0.3345248800018045, 0.08398466996324894, 0.18534486356198984, 0.2528875280714626, 0.30912795692551104)"
0.75,"(0.40071323705689543, 0.41423598703091585, 0.4368833241897886, 0.44649051924543437, 0.0778067970432354, 0.1919832351823428, 0.2825677754651107, 0.3345248800018045, 0.08663017260875158, 0.18534486356198984, 0.2554872431711777, 0.30912795692551104)"
1.25,"(0.38372616091809963, 0.39963032253424763, 0.42372871278474167, 0.4339800704045353, 0.0775868556942618, 0.18770001839912603, 0.28179090102969967, 0.3345248800018045, 0.08678279776137673, 0.18447906269618902, 0.25286098054491507, 0.30912795692551104)"
2,"(0.38509924083980407, 0.4007517007886617, 0.4221171790288024, 0.4303255923280295, 0.07592018902759513, 0.18553636773036125, 0.28146522233431626, 0.3345248800018045, 0.0784494644280434, 0.1792409674580938, 0.2508140738907153, 0.30912795692551104)"
