0.25,0.0,0.0,0.0,"(0.41968415978259105, 0.4324034867992543, 0.4693187808182128, 0.5029135805032319, 0.09625253723166056, 0.17991056819914586, 0.2353935943821726, 0.27797132020870446, 0.42239356247062354, 0.684873376303453, 0.8225447549778167, 0.9483986928104574)"
0.25,0.0,0.0,0.1,"(0.4173968633432652, 0.4363594196098087, 0.47381547432802995, 0.5070757733690319, 0.0978975879048744, 0.18024206730113676, 0.23519749872443554, 0.27797132020870446, 0.4475805282825894, 0.6845096517224608, 0.8213542787873407, 0.9483986928104574)"
0.25,0.0,0.0,0.2,"(0.41716580238551615, 0.4365721114868599, 0.4746711831875063, 0.5088145982275873, 0.09855143405872055, 0.18027616440970193, 0.23576312042897016, 0.27797132020870446, 0.4506108313128924, 0.7006861223106962, 0.8226108925439543, 0.9483986928104574)"
0.25,0.0,0.0,0.3,"(0.41804050290226513, 0.4354979481399749, 0.47548256017739976, 0.5072624024679947, 0.098985296492583, 0.18037537075890828, 0.2356881579102295, 0.27797132020870446, 0.45084781654987766, 0.7002820819066558, 0.822206852139914, 0.9483986928104574)"
0.25,0.0,0.0,0.4,"(0.4171725843661204, 0.43485705803687075, 0.47459887248615634, 0.5056074527519692, 0.098985296492583, 0.18005857373044298, 0.23561018520067784, 0.27797132020870446, 0.45084781654987766, 0.7004601445847185, 0.8223594772925391, 0.9483986928104574)"
0.25,0.0,0.0,0.5,"(0.419930272097749, 0.4351517292641784, 0.47350713232882663, 0.5099266013862187, 0.09871207244886716, 0.1800155389090901, 0.23464342535233904, 0.27797132020870446, 0.45038485358691466, 0.7000776567022307, 0.8201673883357442, 0.9483986928104574)"
0.25,0.0,0.0,0.6,"(0.42114750834643827, 0.43464826250151234, 0.4767844530207587, 0.5105256961095159, 0.09871207244886716, 0.17999929459460018, 0.2359839517355711, 0.27797132020870446, 0.45038485358691466, 0.6988210429456169, 0.8242010942812148, 0.9483986928104574)"
0.25,0.0,0.0,0.7,"(0.4185509806006175, 0.43093791256922287, 0.4698478680594225, 0.5114834651606109, 0.09843884840515131, 0.1799557216098507, 0.2355871263387457, 0.27797132020870446, 0.4480039012059623, 0.6994620685866425, 0.8230899831701037, 0.9483986928104574)"
0.25,0.0,0.0,0.8,"(0.41709753093665586, 0.43001777168934435, 0.4696706468407644, 0.5109144193953787, 0.09875936122566413, 0.1803260919802211, 0.23526661351823286, 0.27797132020870446, 0.44849409728439366, 0.700103094227668, 0.8225997870916724, 0.9483986928104574)"
0.25,0.0,0.0,0.9,"(0.4169362854998439, 0.4265214552607088, 0.4676992171894981, 0.5088574981709196, 0.09772834198035918, 0.1810510722796695, 0.23526661351823286, 0.27797132020870446, 0.4458477240497851, 0.7012343159471252, 0.8225997870916724, 0.9483986928104574)"
